site_id,nws_id,name,drainage_area,years_of_record,action_stage,minor_stage,moderate_stage,major_stage,stage_unit,vertical_datum,nws_datum,latitude,longitude,hydrologic_unit_code,series_id
USGS-01626000,WAYV2,"SOUTH RIVER NEAR WAYNESBORO, VA",127.0,74.0,7.5,9.5,11.0,13.0,ft,NAVD88,NGVD29,38.0576362117852,-78.9080794921247,020700050704,315aa67bbefc49278bcb39b3b0379350
USGS-01632000,COOV2,"N F SHENANDOAH RIVER AT COOTES STORE, VA",210.0,101.5,10.0,15.0,18.0,21.0,ft,NAVD88,NAVD88,38.6370625427107,-78.8528029965582,020700060301,58e9f8d9da174a459169dbfad3f6690c
USGS-03488000,SALV2,"N F HOLSTON RIVER NEAR SALTVILLE, VA",221.0,119.3,8.0,10.0,12.0,14.0,ft,NAVD88,NAVD88,36.8967811467634,-81.7462293374071,060101010201,ecd22283400c4b209902ca5458f0ab4e
USGS-02039500,FRMV2,"APPOMATTOX RIVER AT FARMVILLE, VA",302.0,100.5,12.0,16.0,20.0,25.0,ft,NAVD88,NAVD88,37.3070965043743,-78.3886069770119,020802070206,12121579e74d4bc0a6565ae55ec602d9
USGS-02044500,RAWV2,"NOTTOWAY RIVER NEAR RAWLINGS, VA",317.0,76.0,8.0,10.0,13.0,16.0,ft,NAVD88,NAVD88,36.9834822020767,-77.7997188329418,030102010301,c2aa2114d5744307ad069f5a6f71a9bd
USGS-03531500,JNSV2,"POWELL RIVER NEAR JONESVILLE, VA",319.0,95.0,15.0,18.0,30.0,35.0,ft,NAVD88,NAVD88,36.6620336677891,-83.0948927782464,060102060301,a44e3d01632f41369f89dc10fbea4735
USGS-01644000,LEEV2,"GOOSE CREEK NEAR LEESBURG, VA",332.0,117.2,10.0,12.0,15.0,18.0,ft,NAVD88,NGVD29,39.0195530944687,-77.5774918052998,020700080702,571019312377456caaee3aa492a77eb9
USGS-02055000,RONV2,"ROANOKE RIVER AT ROANOKE, VA",384.0,127.6,6.0,10.0,12.0,16.0,ft,NAVD88,NAVD88,37.2584708451567,-79.9386485108501,030101010404,2a2de99ca94146249fb1fdca1de0d080
USGS-01667500,CLPV2,"RAPIDAN RIVER NEAR CULPEPER, VA",468.0,96.0,11.0,13.0,17.0,21.0,ft,NAVD88,NGVD29,38.3504077442837,-77.9749972176052,020801031001,8cde5c4a4f0e46b48b621a76d570afad
USGS-03524000,CLVV2,"CLINCH RIVER AT CLEVELAND, VA",533.0,106.0,12.0,14.0,19.0,24.0,ft,NAVD88,NAVD88,36.9448295214793,-82.1548569284747,060102050401,598f6e348bb047be944566c89b02bd0f
